CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2009,2009,37,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2010,2010,36,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2011,2011,53,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2012,2012,1663,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2013,2013,2371,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2014,2014,1899,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2015,2015,1534,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2016,2016,1211,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2017,2017,880,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2018,2018,1089,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2019,2019,881,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2020,2020,618,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2000,2000,45,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2001,2001,41,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2002,2002,42,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2003,2003,55,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2004,2004,40,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2005,2005,46,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2006,2006,68,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2007,2007,59,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2008,2008,75,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2009,2009,58,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2010,2010,76,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2011,2011,107,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2012,2012,72,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2013,2013,102,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2014,2014,54,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2015,2015,63,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2016,2016,80,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2017,2017,114,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2018,2018,123,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2019,2019,149,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DNK,Denmark,2020,2020,127,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2000,2000,19,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2001,2001,3,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2002,2002,6,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2003,2003,13,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2004,2004,15,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2005,2005,13,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2006,2006,21,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2007,2007,10,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2008,2008,18,,
